Month,Zone Name,Region,Instance Name,Env,Instance Id,State,App Name,TechnicalOwner,Avg CPU (%),Total Hours,Tenancy,Avg Memory Used (%),Avg File System Used (%),Avg Network In (%),Avg Network Out (%),Product,Compute Cost (Month),API Name,Recommendation,Recommended Price,Savings
Sep/20,us-west-2a,Oregon,AWORPTPLMAPP01,Production,i-68d8cb70,running,PLM|Teamcenter|Ignite,Vivek Ratnaswamy | Rajesh Pudota,0.33,715,default,N/A,N/A,0,0,Windows,2235.36,m4.10xlarge,Terminate instance,No Data,2096.51
Sep/20,us-west-2b,Oregon,AWOR-PDQLKPUB02,Production,i-0b07c9d52eca48dc6,running,Qlikview,qlikview_support@edwards.com,63.22,576,default,37.98,65.72,9.05,2.8,Windows,2597.78,m5.12xlarge,Migrate to m5.8xlarge,2194.64,1096.35
Sep/20,us-west-2a,Oregon,AWPJDEAI05,Production,i-0369fb5ae73387c9a,running,JDE AIS,Narender Reddy,1.57,651,default,4.72,17.69,0,0,Windows,979.1,m5.4xlarge,Migrate to t3.medium,43.78,1054.12
Sep/20,us-west-2a,Oregon,AWPJDEAI07,Production,i-060ac8b187dbc0fa5,running,JDE AIS,Narender Reddy,1.34,650,default,4.55,17.51,0,0,Windows,977.22,m5.4xlarge,Migrate to t3.medium,43.78,1054.12
Sep/20,us-west-2a,Oregon,AWTJDEAI06,Development,i-05929fbee2be785dd,running,JDE AIS,Narender Reddy,2,652,default,8.4,14.89,0,0,Windows,979.85,m5.4xlarge,Migrate to t3.large,80.84,1017.04
Sep/20,us-west-2b,Oregon,AWOR-PDQLKNPR01,Production,i-0115e68de92240ced,running,Other,qlikview_support@edwards.com,3.61,716,default,12,76.24,0.03,0,Windows,1095.36,c4.4xlarge,Migrate to c5.large,129.14,988.72
Sep/20,us-west-2a,Oregon,AWPJDELG15,Production,i-0ad9dffce33e60156,running,JDE Logic Server,Narender Reddy,5.51,716,default,11.81,48.1,0.19,0.04,Windows,1076.11,m5.4xlarge,Migrate to m5.large,137.16,960.68
Sep/20,us-west-2b,Oregon,AWPJDELG17,Production,i-0578adc4d39d25f56,running,JDE Logic Server,Narender Reddy,2.91,715,default,12.93,33.13,0.02,0.01,Windows,1074.98,m5.4xlarge,Migrate to m5.large,137.16,960.27
Sep/20,us-west-2a,Oregon,AWPJDELG14,Production,i-0ee888fb2ee07f13a,running,Other,Narender Reddy,4.28,713,default,11.92,34.41,0.04,0.01,Windows,1071.97,m5.4xlarge,Migrate to m5.large,137.16,960.27
Sep/20,us-west-2a,Oregon,AWPJDELG04,Production,i-091299054e1f8754c,running,JDE Logic Server,Narender Reddy,6.3,715,default,12.51,57.05,0.23,0.04,Windows,1074.6,m5.4xlarge,Migrate to m5.large,137.16,960.27
Sep/20,us-west-2b,Oregon,IRVLBLSPC01,Production,i-0094105ecc3fbc3f1,running,Pragmatyxs,Trevor Britton,8.85,714,default,35.41,67.04,7.37,0.27,Windows,1092.9,c4.4xlarge,Migrate to r5.large,159.05,958.79
Sep/20,us-west-2a,Oregon,AWOR-PDRRRAPP02,Production - Exception,i-0fe2c22c02abebec1,running,Other,Gokul Mohan,3.03,715,default,0.83,N/A,0,0,Red Hat Enterprise Linux,1087.52,m5a.16xlarge,Migrate to c5a.xlarge,156.13,954.11
